,description,help,id,inputs,name,outputs
100,Corrects retention time distortions between maps by spectrum alignment.,Corrects retention time distortions between maps by spectrum alignment    For more information  visit  mi fu berlin,MapAlignerSpectrum,mzml,MapAlignerSpectrum,"mzml,trafoxml"
101,Normalizes peak intensities in an MS run.,Normalizes peak intensities in an MS run    For more information  visit  mi fu berlin,MapNormalizer,mzml,MapNormalizer,mzml
102,Applies retention time transformations to maps.,Applies retention time transformations to maps    For more information  visit  mi fu berlin,MapRTTransformer,"mzml,featurexml,consensusxml,idxml,trafoxml",MapRTTransformer,"input,trafoxml"
103,Extract extended statistics on the features of a map for quality control.,Extract extended statistics on the features of a map for quality control    For more information  visit  mi fu berlin,MapStatistics,"featurexml,consensusxml",MapStatistics,txt
104,Annotates MS/MS spectra using Mascot.,Annotates MS MS spectra using Mascot    For more information  visit  mi fu berlin,MascotAdapter,txt,MascotAdapter,data
105,Annotates MS/MS spectra using Mascot.,Annotates MS MS spectra using Mascot    For more information  visit  mi fu berlin,MascotAdapterOnline,mzml,MascotAdapterOnline,idxml
106,Calculates masses and mass-to-charge ratios of peptide sequences,Calculates masses and mass to charge ratios of peptide sequences   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS MassCalculator,MassCalculator,txt,MassCalculator,txt
107,Detects mass traces in centroided LC-MS data.,Detects mass traces in centroided LC MS data    For more information  visit  mi fu berlin,MassTraceExtractor,mzml,MassTraceExtractor,featurexml
108,Performs proteinSIP on peptide features for elemental flux analysis.,Performs proteinSIP on peptide features for elemental flux analysis    For more information  visit  mi fu berlin,MetaProSIP,"mzml,fasta,featurexml",MetaProSIP,tabular
109,Decharges and merges different feature charge variants of the same metabolite.,Decharges and merges different feature charge variants of the same metabolite    For more information  visit  mi fu berlin,MetaboliteAdductDecharger,featurexml,MetaboliteAdductDecharger,"consensusxml,featurexml"
110,Perform a spectral library search.,Perform a spectral library search    For more information  visit  mi fu berlin,MetaboliteSpectralMatcher,mzml,MetaboliteSpectralMatcher,tabular
111,Completes peptide multiplets and resolves conflicts within them.,Completes peptide multiplets and resolves conflicts within them    For more information  visit  mi fu berlin,MultiplexResolver,consensusxml,MultiplexResolver,consensusxml
112,Splits an mzML file into multiple parts,Splits an mzML file into multiple parts   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS MzMLSplitter,MzMLSplitter,mzml,MzMLSplitter,txt
113,Exports various XML formats to an mzTab file.,Exports various XML formats to an mzTab file    For more information  visit  mi fu berlin,MzTabExporter,"featurexml,consensusxml,idxml,mzid",MzTabExporter,tabular
114,Removes noise from profile spectra by using Gaussian filter (on uniform as well as non-uniform data).,Removes noise from profile spectra by using Gaussian filter  on uniform as well as non uniform data     For more information  visit  mi fu berlin,NoiseFilterGaussian,mzml,NoiseFilterGaussian,mzml
115,Removes noise from profile spectra by using a Savitzky Golay filter. Requires uniform (equidistant) data.,Removes noise from profile spectra by using a Savitzky Golay filter  Requires uniform  equidistant  data    For more information  visit  mi,NoiseFilterSGolay,mzml,NoiseFilterSGolay,mzml
116,Tool for protein-protein cross-linking identification using labeled linkers.,Tool for protein protein cross linking identification using labeled linkers    For more information  visit  mi fu berlin,OpenPepXL,"mzml,consensusxml,fasta",OpenPepXL,"xml,idxml,mzid"
117,Tool for protein-protein cross linking with label-free linkers.,Tool for protein protein cross linking with label free linkers    For more information  visit  mi fu berlin,OpenPepXLLF,"mzml,fasta",OpenPepXLLF,"xml,idxml,mzid"
118,Picks peaks and finds features in an SWATH-MS or SRM experiment.,Picks peaks and finds features in an SWATH MS or SRM experiment    For more information  visit  mi fu berlin,OpenSwathAnalyzer,"mzml,traml,trafoxml",OpenSwathAnalyzer,featurexml
119,Generates assays according to different models for a specific TraML,Generates assays according to different models for a specific TraML   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP OpenSwathAssayGenerator,OpenSwathAssayGenerator,"traml,txt",OpenSwathAssayGenerator,traml
120,Extract chromatograms (XIC) from a MS2 map file.,Extract chromatograms  XIC  from a MS2 map file    For more information  visit  mi fu berlin,OpenSwathChromatogramExtractor,"mzml,tabular,traml,trafoxml",OpenSwathChromatogramExtractor,mzml
121,Compute confidence scores for OpenSwath results,Compute confidence scores for OpenSwath results   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP OpenSwathConfidenceScoring,OpenSwathConfidenceScoring,"featurexml,traml,trafoxml",OpenSwathConfidenceScoring,featurexml
122,Scoring spectra using the DIA scores.,Scoring spectra using the DIA scores    For more information  visit  mi fu berlin,OpenSwathDIAPreScoring,"traml,mzml",OpenSwathDIAPreScoring,tabular
123,Generates decoys according to different models for a specific TraML,Generates decoys according to different models for a specific TraML   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP OpenSwathDecoyGenerator,OpenSwathDecoyGenerator,traml,OpenSwathDecoyGenerator,traml
124,Converts a featureXML to a mProphet tsv.,Converts a featureXML to a mProphet tsv    For more information  visit  mi fu berlin,OpenSwathFeatureXMLToTSV,"featurexml,traml",OpenSwathFeatureXMLToTSV,tabular
125,"Splits SWATH files into n files, each containing one window.",Splits SWATH files into n files  each containing one window    For more information  visit  mi fu berlin,OpenSwathFileSplitter,"mzml,mzxml",OpenSwathFileSplitter,txt
126,This tool caches the spectra and chromatogram data of an mzML to disk.,This tool caches the spectra and chromatogram data of an mzML to disk    For more information  visit  mi fu berlin,OpenSwathMzMLFileCacher,"mzml,sqMass",OpenSwathMzMLFileCacher,mzml
127,This tool will take a description of RT peptides and their normalized retention time to write out a transformation file on how to transform the RT space into the normalized space.,This tool will take a description of RT peptides and their normalized retention time to write out a transformation file on how to transform the RT space into the normalized space    For more information  visit  mi fu berlin,OpenSwathRTNormalizer,"mzml,tabular,traml,trafoxml",OpenSwathRTNormalizer,trafoxml
128,Combines featureXML and mProphet tsv to FDR filtered featureXML.,Combines featureXML and mProphet tsv to FDR filtered featureXML    For more information  visit  mi fu berlin,OpenSwathRewriteToFeatureXML,"tabular,featurexml",OpenSwathRewriteToFeatureXML,featurexml
129,Complete workflow to run OpenSWATH,Complete workflow to run OpenSWATH   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS OpenSwathWorkflow,OpenSwathWorkflow,"mzml,mzxml,traml,tabular,pqp,traml,trafoxml,txt",OpenSwathWorkflow,"featurexml,tabular,osw,mzml"
130,Computes extra features for each input PSM.,Computes extra features for each input PSM    For more information  visit  mi fu berlin,PSMFeatureExtractor,"mzid,idxml",PSMFeatureExtractor,input
131,Trains a model for the prediction of proteotypic peptides from a training set.,Trains a model for the prediction of proteotypic peptides from a training set    For more information  visit  mi fu berlin,PTModel,idxml,PTModel,txt
132,predicts the likelihood of peptides to be proteotypic via svm_model which is trained by PTModel,predicts the likelihood of peptides to be proteotypic via svm model which is trained by PTModel   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP PTPredict,PTPredict,"idxml,txt",PTPredict,idxml
133,Finds mass spectrometric peaks in profile mass spectra.,Finds mass spectrometric peaks in profile mass spectra    For more information  visit  mi fu berlin,PeakPickerHiRes,mzml,PeakPickerHiRes,mzml
134,Finds mass spectrometric peaks in profile mass spectra.,Finds mass spectrometric peaks in profile mass spectra    For more information  visit  mi fu berlin,PeakPickerIterative,mzml,PeakPickerIterative,mzml
135,Finds mass spectrometric peaks in profile mass spectra.,Finds mass spectrometric peaks in profile mass spectra    For more information  visit  mi fu berlin,PeakPickerWavelet,mzml,PeakPickerWavelet,mzml
136,Refreshes the protein references for all peptide hits.,Refreshes the protein references for all peptide hits    For more information  visit  mi fu berlin,PeptideIndexer,"idxml,fasta",PeptideIndexer,idxml
137,Facilitate input to Percolator and reintegrate.,Facilitate input to Percolator and reintegrate    For more information  visit  mi fu berlin,PercolatorAdapter,"mzid,idxml,txt,fasta",PercolatorAdapter,"idxml,mzid,data"
138,Scores potential phosphorylation sites in order to localize the most probable sites.,Scores potential phosphorylation sites in order to localize the most probable sites    For more information  visit  mi fu berlin,PhosphoScoring,"mzml,idxml",PhosphoScoring,idxml
139,PrecursorIonSelector,PrecursorIonSelector   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP PrecursorIonSelector,PrecursorIonSelector,"featurexml,idxml,mzml,fasta",PrecursorIonSelector,featurexml
140,"Corrects the precursor entries of MS/MS spectra, by using MS1 information.",Corrects the precursor entries of MS MS spectra  by using MS1 information    For more information  visit  mi fu berlin,PrecursorMassCorrector,"mzml,featurexml",PrecursorMassCorrector,mzml
141,Protein inference based on the number of identified peptides.,Protein inference based on the number of identified peptides    For more information  visit  mi fu berlin,ProteinInference,idxml,ProteinInference,idxml
142,Compute peptide and protein abundances,Compute peptide and protein abundances   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP ProteinQuantifier,ProteinQuantifier,"featurexml,consensusxml,idxml,idxml",ProteinQuantifier,tabular
143,protein inference,protein inference   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP ProteinResolver,ProteinResolver,"fasta,idxml,consensusxml,txt",ProteinResolver,tabular
144,Calculates basic quality parameters from MS experiments and subsequent analysis data as identification or feature detection.,Calculates basic quality parameters from MS experiments and subsequent analysis data as identification or feature detection    For more information  visit  mi fu berlin,QCCalculator,"mzml,idxml,featurexml,consensusxml",QCCalculator,qcml
145,Attaches a table or an image to a given qc parameter.,Attaches a table or an image to a given qc parameter    For more information  visit  mi fu berlin,QCEmbedder,"qcml,mzml,PNG,tabular",QCEmbedder,qcml
146,Will extract several qp from several run/sets in a tabular format.,Will extract several qp from several run sets in a tabular format    For more information  visit  mi fu berlin,QCExporter,"qcml,tabular",QCExporter,tabular
147,Extracts a table attachment to a given qc parameter.,Extracts a table attachment to a given qc parameter    For more information  visit  mi fu berlin,QCExtractor,"qcml,mzml",QCExtractor,tabular
148,Imports tables with quality control parameters into qcml files.,Imports tables with quality control parameters into qcml files    For more information  visit  mi fu berlin,QCImporter,"qcml,tabular",QCImporter,qcml
149,Merges two qcml files together.,Merges two qcml files together    For more information  visit  mi fu berlin,QCMerger,qcml,QCMerger,qcml
150,"This application is used to remove the verbose table attachments from a qcml file that are not needed anymore, e.g. for a final report.",This application is used to remove the verbose table attachments from a qcml file that are not needed anymore  e g  for a final report    For more information  visit ,QCShrinker,"qcml,mzml",QCShrinker,qcml
151,Tool for RNP cross linking experiment analysis.,Tool for RNP cross linking experiment analysis    For more information  visit  mi fu berlin,RNPxl,"mzml,txt,fasta",RNPxl,"idxml,tabular"
152,Annotate RNA to peptide crosslinks in MS/MS spectra.,Annotate RNA to peptide crosslinks in MS MS spectra    For more information  visit  mi fu berlin,RNPxlSearch,"mzml,fasta",RNPxlSearch,"idxml,tabular"
153,Remove MS2 spectra from treatment based on the fold change between control and treatment.,Remove MS2 spectra from treatment based on the fold change between control and treatment    For more information  visit  mi fu berlin,RNPxlXICFilter,mzml,RNPxlXICFilter,mzml
154,"Application that evaluates TPs (true positives), TNs, FPs, and FNs for an idXML file with predicted RTs.",Application that evaluates TPs  true positives   TNs  FPs  and FNs for an idXML file with predicted RTs    For more information  visit  mi fu berlin,RTEvaluation,idxml,RTEvaluation,tabular
155,Trains a model for the retention time prediction of peptides from a training set.,Trains a model for the retention time prediction of peptides from a training set    For more information  visit  mi fu berlin,RTModel,"idxml,txt,idxml",RTModel,"txt,paramXML"
156,Predicts retention times for peptides using a model trained by RTModel.,Predicts retention times for peptides using a model trained by RTModel    For more information  visit  mi fu berlin,RTPredict,"idxml,txt,paramXML",RTPredict,"idxml,tabular"
157,Generates seed lists for feature detection.,Generates seed lists for feature detection    For more information  visit  mi fu berlin,SeedListGenerator,"mzml,idxml,featurexml,consensusxml",SeedListGenerator,featurexml
158,SemanticValidator for semantically validating certain XML files.,SemanticValidator for semantically validating certain XML files    For more information  visit  mi fu berlin,SemanticValidator,"analysisXML,mzml,traml,mzid,mzData,xml,xml,obo",SemanticValidator,txt
159,Prints information about idXML files.,Prints information about idXML files    For more information  visit  mi fu berlin,SequenceCoverageCalculator,"fasta,idxml",SequenceCoverageCalculator,txt
160,Annotates MS/MS spectra using SimpleSearchEngine.,Annotates MS MS spectra using SimpleSearchEngine    For more information  visit  mi fu berlin,SimpleSearchEngine,"mzml,fasta",SimpleSearchEngine,idxml
161,Tool for metabolite identification using single and tandem mass spectrometry,Tool for metabolite identification using single and tandem mass spectrometry   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS SiriusAdapter,SiriusAdapter,mzml,SiriusAdapter,tabular
162,Creates an MSP formatted spectral library.,Creates an MSP formatted spectral library    For more information  visit  mi fu berlin,SpecLibCreator,"tabular,mzData,mzxml",SpecLibCreator,msp
163,Identifies peptide MS/MS spectra by spectral matching with a searchable spectral library.,Identifies peptide MS MS spectra by spectral matching with a searchable spectral library    For more information  visit  mi fu berlin,SpecLibSearcher,"mzml,msp",SpecLibSearcher,idxml
164,Applies thresholdfilter to peak spectra.,Applies thresholdfilter to peak spectra    For more information  visit  mi fu berlin,SpectraFilterBernNorm,mzml,SpectraFilterBernNorm,mzml
165,Applies thresholdfilter to peak spectra.,Applies thresholdfilter to peak spectra    For more information  visit  mi fu berlin,SpectraFilterMarkerMower,mzml,SpectraFilterMarkerMower,mzml
166,Applies thresholdfilter to peak spectra.,Applies thresholdfilter to peak spectra    For more information  visit  mi fu berlin,SpectraFilterNLargest,mzml,SpectraFilterNLargest,mzml
167,Normalizes intensity of peak spectra.,Normalizes intensity of peak spectra    For more information  visit  mi fu berlin,SpectraFilterNormalizer,mzml,SpectraFilterNormalizer,mzml
168,Applies thresholdfilter to peak spectra.,Applies thresholdfilter to peak spectra    For more information  visit  mi fu berlin,SpectraFilterParentPeakMower,mzml,SpectraFilterParentPeakMower,mzml
169,Applies thresholdfilter to peak spectra.,Applies thresholdfilter to peak spectra    For more information  visit  mi fu berlin,SpectraFilterScaler,mzml,SpectraFilterScaler,mzml
170,Applies thresholdfilter to peak spectra.,Applies thresholdfilter to peak spectra    For more information  visit  mi fu berlin,SpectraFilterSqrtMower,mzml,SpectraFilterSqrtMower,mzml
171,Applies thresholdfilter to peak spectra.,Applies thresholdfilter to peak spectra    For more information  visit  mi fu berlin,SpectraFilterThresholdMower,mzml,SpectraFilterThresholdMower,mzml
172,Applies thresholdfilter to peak spectra.,Applies thresholdfilter to peak spectra    For more information  visit  mi fu berlin,SpectraFilterWindowMower,mzml,SpectraFilterWindowMower,mzml
173,"Merges spectra (each MS level separately), increasing S/N ratios.",Merges spectra  each MS level separately   increasing S N ratios    For more information  visit  mi fu berlin,SpectraMerger,mzml,SpectraMerger,mzml
174,Interface to the SEARCH Mode of the SpectraST executable,Interface to the SEARCH Mode of the SpectraST executable   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS SpectraSTSearchAdapter,SpectraSTSearchAdapter,"mzml,mzxml,mzData,dta,msp,splib,fasta,txt,dat,params,txt",SpectraSTSearchAdapter,txt
175,Trainer for SVM models as input for SvmTheoreticalSpectrumGenerator,Trainer for SVM models as input for SvmTheoreticalSpectrumGenerator   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS SvmTheoreticalSpectrumGeneratorTrainer,SvmTheoreticalSpectrumGeneratorTrainer,"mzml,idxml",SvmTheoreticalSpectrumGeneratorTrainer,data
176,Calculates the TIC from a mass spectrometric raw file (useful for benchmarking).,Calculates the TIC from a mass spectrometric raw file  useful for benchmarking     For more information  visit  mi fu berlin,TICCalculator,"mzData,mzxml,mzml,cachedMzML,dta,dta2d,mgf,featurexml,consensusxml,ms2,fid,tabular,peplist,kroenik,tabular",TICCalculator,txt
177,Applies time of flight calibration.,Applies time of flight calibration    For more information  visit  mi fu berlin,TOFCalibration,"mzml,txt,tabular",TOFCalibration,mzml
178,Converts different transition files for targeted proteomics / metabolomics analysis.,Converts different transition files for targeted proteomics   metabolomics analysis    For more information  visit  mi fu berlin,TargetedFileConverter,"tabular,mrm,pqp,traml",TargetedFileConverter,input
179,Exports various XML formats to a text file.,Exports various XML formats to a text file    For more information  visit  mi fu berlin,TextExporter,"featurexml,consensusxml,idxml,mzml",TextExporter,tabular
180,Applies a transformation to a range of values,Applies a transformation to a range of values   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS TransformationEvaluation,TransformationEvaluation,trafoxml,TransformationEvaluation,trafoxml
181,Calculates false discovery rate estimates on crosslink identifications,Calculates false discovery rate estimates on crosslink identifications   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS XFDR,XFDR,"xml,idxml,mzid",XFDR,"idxml,mzid"
182,Validates XML files against an XSD schema.,Validates XML files against an XSD schema    For more information  visit  mi fu berlin,XMLValidator,"mzml,mzData,featurexml,mzid,idxml,consensusxml,mzxml,txt,pepxml,traml,xml,txt",XMLValidator,txt
183,Annotates MS/MS spectra using X! Tandem.,Annotates MS MS spectra using X  Tandem    For more information  visit  mi fu berlin,XTandemAdapter,"mzml,fasta,xml",XTandemAdapter,"idxml,xml"
184,classify genomic location of peptides,           PepPointer            Given chromosomal locations of peptides in a BED file  PepPointer classifies them as CDS  UTR  exon  intron  or intergene       ,pep_pointer,"gtf,bed",PepPointer,tabular
185,"
        Perform protein identification using various search engines based on results from SearchGUI
    ",Runs multiple search engines  X  Tandem  OMSSA and MS GF   on any number of MGF peak lists using the SearchGUI application and combines the results ,peptide_shaker,searchgui_archive,Peptide Shaker,"mzid,peptideshaker_archive,zip,txt,tabular"
186,"
        Perform protein identification using various search engines and prepare results for input to Peptide Shaker
    ",Runs multiple search engines on any number of MGF peak lists using the SearchGUI  Default      X  Tandem  OMSSA and MS GF  are executed  Optional      MyriMatch  MS Amanda  Comet and Tide can be executed ,search_gui,"fasta,mgf",Search GUI,searchgui_archive
187,based on filenames and batch sizes,     Creates nested collection containing from a list containing datasets in batches of     a specific size  Useful when e g  creating inputs to sqt2pin  msgfplus2pin or tandem2pin,batched_set_list_creator,,Create nested list,
188,accurate peptide identification,The first step in analyzing an mass spectrometry assay is to match the harvested spectra against a target database using database search engines such as Sequest and Mascot  a process that renders list of peptide spectrum matches  However  it is not trivial to assess the accuracy of these identifications   Percolator uses a semi supervised machine learning to discriminate correct from incorrect peptide spectrum matches  and calculates accurate statistics such as q value  FDR  and posterior error probabilities       ,percolator,percin,Percolator,percout
189,to create Percolator input files, The percolator converter msgf2pin converts mzIdentML to input for percolator  Target and decoy inputs are MzIdentML files of MS GF  from separate target and decoy searches  Internal MS GF  target decoy analysis should be turned off  and the addFeatures options turned on  Multiple MzIdentML files can be merged by passing lists of these,percolator_input_converters,mzid,Search engine output to Pin converter,percin
190,add Percolator scoring to mzIdentML,Pout2Mzid extracts statistics from a percolator input file  and writes them to the mzIdentML file s  that have been used    to generate the percolator data  You may either pass multiple mzIdentML files in a list and one percolator file  or a single one      ,pout2mzid,"percout,mzid",Pout2mzid,mzid
191,to peptide table,      In case you have no pI calculation method but a large table with       peptides and their predicted pIs available  This tool adds a column       with delta pI values to a peptide or PSM table for each peptide it       can find in the predicted collection  Needs a tab separated file       with peptide sequences and their predicted pI  and a PSM peptide table       with at least peptide sequences        Regexes  or regular expressions are are sequences of characters that       are used to find a certain pattern in a string of text,calc_delta_pi,tabular,Add delta pI,tabular
192,into pI separated fractions,      Creates a pI separated database collection from a pI determined input      file of peptide protein mappings  Outputs one db for target  one      for decoy      ,pi_db_split,tabular,Split peptide database,
193,to resemble spectra fraction scheme,      Filters  pools and doubles fractionated databases with a set of identically fractionated spectra files which have been      subjected to pooling and contain reruns       You may have fraction 1 10 in databases but spectra file fractions 4 7 have been pooled before loading to the MS        and spectra fraction 2 and 8 have been reran creating fractions 2 and 2a  and 8  8a and 8b       This tool pools FASTA databases and duplicates them where needed to line up the databases to your spectra collections      ,pi_dbspec_align,"text,tabular",Align DB fractions,
194,,         Standardize the output of Windows tools like  Convert ProteinPilot Group to Tabular  for use in Galaxy      ,convert_windows_newlines,txt,ProteinPilot - Convert Windows Line Breaks,
195,,        ,proteinpilot,"mgf,fasta",ProteinPilot,"group,xml,xlsx"
196,"convert group file to tabular reports, mzIndentML, and MGF",    ProteinPilot GroupFileExtractor      Requires ProteinPilot version 5     INPUT       A ProteinPilot  group file    OUTPUTS      Data can now be exported in the following formats        1    Protein Summary            A tabular report of detected proteins          2    Peptide Summary            A tabular report of detected proteins          3    Distinct Peptide Summary            The Distinct Peptide Summary export provides a summary of all peptide groups for each group that has at least one hypotheses with at least 15  confidence,proteinpilot_group_extractor,group,ProteinPilot - GroupFileExtractor,"tabular,mzid,mgf,xml,csv"
197,,   ,proteinpilot_tabular,group,ProteinPilot - Convert Group to Tabular,tabular
198,,   ,proteinpilot_xml,group,ProteinPilot - Convert Group to XML,proteinpilot.xml
199,,   ,protxml_to_xls,prot.xml,Convert ProtXML to Tabular,protxml.tsv
200,Re-evalute potential PSMs using the psm-eval application,Generates user selected metrics in a tabular format for peptide spectral matches using spectral peptide summary generated from a search tool and mzml input files  The tabular format that is generated can be used for filtering based on user defined thresholds  Alternatively  it can also provide visualization of peptide spectral matches  thus allowing further metrics evaluation ,psm_eval,"mzid,tabular,mzml",Peptide-Spectrum-Matches (PSMs) Evaluator,tabular
201,,The algorithm can take targeted proteomics data  learn a linear separation between true signal and the noise signal and then compute a q value  false discovery rate  to achieve experiment wide cutoffs  ,gp_pyprophet,txt,PyProphet,"pdf,tabular,txt"
202,, This tool goes line by line through the specified input file and replaces text which matches the specified regular expression patterns with its corresponding specified replacement   This tool uses Python regular expressions  More information about Python regular expressions can be found here   python,regex1,txt,Regex Find And Replace,input
203,,     class   warningmark    This tool will attempt to reuse the metadata from your first input    To change metadata assignments click on the  edit attributes  link of the history item generated by this tool,regexColumn1,tabular,Column Regex Find And Replace,input
204,"
    Visualize and Validate Complex MS/MS Proteomics Experiments
  ",Merges multiple protein identification search results together into a single SF3 file for viewing  A free viewer for Scaffold SF3 files can be obtained from Proteome software at  proteomesoftware com Scaffold Scaffold viewer,scaffold,"fasta,tandem,omx",Scaffold,"xml,sf3"
205,"
    Export summary from Scaffold SF3 file.
  ",Export data out of Scaffold s binary data format  sf3  into tabular reports or XML ,scaffold_export,sf3,Scaffold Export,tabular
206,a metapeptide database from metagenome fastq files,         usage  sixgill build   h     minlength MINLENGTH                          minqualscore MINQUALSCORE                          metagenefile METAGENEFILE                          minmetagenescore MINMETAGENESCORE                          minorflength MINORFLENGTH                          minlongesttryppeplen MINLONGESTTRYPPEPLEN                          maxreads MAXREADS     minreadcount MINREADCOUNT    out                      OUT    outfasta OUTFASTA     debug                       fastqfiles  fastqfiles       Read in one or more fastq files,sixgill_build,"fastq,txt",sixgill build,"tabular,fasta"
207,a metapeptide database, usage  sixgill filter   h    out OUT    minorflength MINORFLENGTH                           minaaseqlength MINAASEQLENGTH                           minreadcount MINREADCOUNT                           minqualscore MINQUALSCORE                           minlongesttryppeplen MINLONGESTTRYPPEPLEN                           minmetagenescore MINMETAGENESCORE                           maxmetapeptides MAXMETAPEPTIDES     debug                        metapeptidefile  Filter a metapeptide database   positional arguments    metapeptidefile       input metapeptide database file  optional arguments     h    help            show this help message and exit     out OUT             output metapeptide database file     minorflength MINORFLENGTH                         minimum ORF length     minaaseqlength MINAASEQLENGTH                         minimum AA sequence length     minreadcount MINREADCOUNT                         minimum read count     minqualscore MINQUALSCORE                         minimum basecall quality     minlongesttryppeplen MINLONGESTTRYPPEPLEN                         minimum length of the longest tryptic peptide     minmetagenescore MINMETAGENESCORE                         Minimum MetaGene score   1 for none      maxmetapeptides MAXMETAPEPTIDES                         maximum number of metapeptides to write     debug               Enable debug logging      ,sixgill_filter,tabular,sixgill filter,"tabular,fasta"
208,from a metapeptide database, usage  sixgill makefasta   h    out OUT   type  aa peptide                              missedcleavages MISSEDCLEAVAGES                              minpeptidelength MINPEPTIDELENGTH     debug                           metapeptidedbfile  Build a fasta database from a metapeptide database  Either nucleotide or amino acid   positional arguments    metapeptidedbfile     input metapeptide database file  optional arguments     h    help            show this help message and exit     out OUT             output file     type  aa peptide    database type     missedcleavages MISSEDCLEAVAGES                         missed cleavages  for type peptide only      minpeptidelength MINPEPTIDELENGTH                         minimum peptide length  for type peptide only      debug               Enable debug logging      ,sixgill_makefasta,tabular,sixgill makefasta,fasta
209,metapeptide databases, usage  sixgill merge   h    out OUT    debug                       metapeptidedbfiles  metapeptidedbfiles       Merge multiple metapeptide database files into a single metapeptide database,sixgill_merge,tabular,sixgill merge,"tabular,fasta"
210,,Filter from spectraST files to swath input files ,gp_spectrast2spectrast_irt,txt,SpectraST RT Normalizer,txt
211,Filter from spectraST files to swath input files,Filter from spectraST files to swath input files ,gp_spectrast2tsv,"txt,fasta",Spectrast to TSV,tabular
212,3 frame translation of BED augmented with a sequence column,   Translate BED Sequences    This tool takes a BED input file that has been processed  by the Galaxy tool  Extract Genomic DNA  to add a 13th column with the transcript sequence   It generates a peptide fasta file with the 3 frame translations of the spliced sequence  defined by each entry in the input BED file       ,translate_bed_sequences,bed,Translate BED Sequences,"bed,fasta"
213,retrieve taxonomy for peptides,       Unipept         Retrieve Uniprot and taxanomic information for trypic peptides           Unipept API documentation    ugent be apidocs         Input        Input peptides can be retrieved from tabular  fasta  mzid  or pepxml datasets,unipept,"mzid,pepxml,fasta,tabular,fasta,mzid,pepxml",Unipept,"d3_hierarchy,tabular,csv"
214,download proteome as XML or fasta,    UniProt Downloader    Downloads either a UniProtXML file or a fasta file from UniProtKB  The Morpheus proteomics search algorithm can use the UniProtXML format as a search database   Available proteomes   uniprot org proteomes   Available taxon names  ,uniprotxml_downloader,tabular,UniProt,uniprotxml
215,,     Notes    Takes a FASTA database and validates the headers using the Compomics  developers of SearchGUI and PeptideShaker  schema   Custom FASTA databases may be in an invalid format  which causes SearchGUI to crash             Output    The main output of this tool   Validate FASTA  Passed Sequences   is a FASTA database that can be run through SearchGUI without error  The failed sequences may be examined for typos and other errors,validate_fasta_database,fasta,Validate FASTA Database,fasta
